;title;year,
32;Метод бикластеризации на основе монотонных соответствий Галуа;2017,
33;Меры сходства и интересности для закономерностей в последовательностях;2017,
34;Изучение некоторых процессов реакции-диффузии в пространстве мер с транспортной метрикой;2017,
35;Исследование особенностей геометрии области допустимых режимов электросетей;2017,
36;Система бронирования мест для предприятий общественного питания;2017,
37;Инструмент поиска дефектов в программах на языке Python по абстрактному дереву синтаксиса;2017,
38;Графические модели и их приложения в моделировании экономических процессов;2017,
39;Глубокие свёрточные генеративные конкурирующие сети для стеганографии;2017,
40;Реализация и оценка качества эвристических алгоритмов для смешанной задачи китайского почтальона;2017,
41;Программа подготовки протокола переговоров на основе распознавания речи;2017,
42;Применение нечетких методов в обработке изображений;2017,
43;Решение задачи минимизации квадратичной невязки при энтропийной регуляризации путем решения регуляризованной двойственной задачи методом эллипсоидов с неточным оракулом;2017,
44;Мобильное приложение с сервисом рекомендации маршрутов городского транспорта;2017,
45;Инструмент кластеризации и визуализации кластеров научных статей;2017,
46;Байесовский выбор модели для частично наблюдаемого марковского процесса с тремя состояниями;2017,
47;Аддитивная регуляризация тематических моделей для выделения полных наборов тем в коллекциях текстовых документов;2017,
48;Генератор мобильных приложений для интернет-магазинов;2017,
49;Сервис Takeaway для запоминания информации;2017,
50;Сравнительный анализ М- и ММ-оценок в регрессионной модели со стохастичесими регрессорами;2017,
51;Оценка кредитоспособности заёмщика при помощи модели Мертона. Предсказание дефолта компании на произвольный промежуток времени, а также оценка степени адекватности модели Мертона;2017
52;Выбор признаков при построении модели банковского кредитного скоринга;2017,
53;Веб-приложение для визуализации структур лексико-семантических полей;2017,
54;Программа для автоматического формирования списка покупок на основе прогнозирования пользовательских предпочтений;2017,
55;Построение предиктивных моделей дефолта по заемщикам на основе решеток замкнутых интервальных описаний;2017,
56;Регуляризованный метод Ньютона для оптимизации сильно выпуклых функций;2017,
57;Программа синтеза гибридных UML диаграмм по журналам событий;2017,
58;Синтаксический анализатор на основе деревьев зависимостей и нейронных сетей для библиотеки NLTK;2017,
59;Использование методов машинного обучения для реализации сервиса по публикации новостей в заданном стиле;2017,
60;Индексы влияния вычислимые за полиномиальное время;2017,
61;Автоматический синтаксический анализатор русского языка;2017,
"62;""Android приложение """"Автомобильные гонки в виртуальной реальности"""""";2017",
63;Исследование способов оптимизации алгоритмов реконструкции ДНК на основе генетической диагностики и реконструкции слов с запретами в гипотезе сдвига 1;2017,
64;Android приложение для организации и поиска событий;2017,
65;Исследование точности алгоритмов идентификации циклов с шумами в символьных последовательностях;2017,
"66;""Клиент-серверное приложение """"Локальные мини-карты"""""";2017",
67;Программа для генерации сетевого трафика с заданными свойствами;2017,
68;Статистическое моделирование пространственно-временных полей землетрясений;2017,
69;Мобильное приложение для согласования мест групповых встреч;2017,
70;Построение модели биржевой торговли для анализа и оптимизации торговых стратегий;2017,
71;Библиотека для автоматизированного сбора данных о пользовательском взаимодействия с элементами интерфейса на основе iOS Human Interface Guidelines;2017,
72;Информационно-справочная система о товарах и услугах;2017,
73;Анализ характеристик модели с кластерной структурой;2017,
74;Программа распознавания жестов пальцев руки для управления курсором;2017,
75;Поиск максимальных квази-биклик;2017,
76;Конформное обнаружение аномалий на основе метода ближайших соседей для одномерных потоков данных;2017,
77;Исследование точности полуопределенных релаксаций для поиска оптимальных потоков мощности;2017,
78;Сравнение пайпланов построения структурных коннектомов с помощью попарной классификации и внутриклассового коэффициента корелляции;2017,
79;Программа 3D рендеринга с использованием двоичного разбиения пространства;2017,
80;Торические идеалы и базисы Грёбнера в задачах целочисленного программирования;2017,
81;Байесовский подход в задаче сокращения размерности согласно одноиндексной модели;2017,
82;iOS приложение для изучения открытых курсов на платформе Stepik.org;2017,
83;Клиент-серверное iOS-приложение для отслеживания багажа с помощью маячков iBeacon;2017,
84;Применение теории перспектив и нечеткой логики к процессу принятия решений по результатам анализа денежных потоков;2017,
85;Классификация открытых программных проектов с использованием методов машинного обучения;2017,
86;Распознавание символов на кинетических данных, полученных с сенсоров мобильных телефонов;2017
87;Применение метода параметрикс в некоторых статистических и вероятностных задачах;2017,
88;Применение глубинных нейронных сетей для принятия решений в шутере от первого лица;2017,
89;Выравнивания векторных полей на многообразиях методом сжимающих отображений;2017,
90;Свойства доходностей финансовых индексов в периоды аномально высоких значений их марковского радиуса корреляции;2017,
91;Сравнительный анализ методов выбора стратегии лечения при бинарном исходе;2017,
92;Визуальный редактор тестовых заданий в формате QTI/APIP;2017,
93;Программа преобразования одноголосного аудиофайла в нотную нотацию;2017,
94;Несбалансированная классификация с помощью ансамблей на основе классификационных деревьев;2017,
95;Программа статической верификации конфигураций ядра операционной системы Linux;2017,
96;Программа определения вредоносных apk-файлов на основе алгоритмов машинного обучения;2017,
97;Бикластеризация для сложных сетей;2017,
98;Клиент-серверное приложение для трекинга процесса доставки почтовых отправлений Федеральной Почтовой Службы;2017,
99;Игра InTheMaze на платформе Unity;2017,
"100;""Методы прогнозирования рядов таблиц """"затраты-выпуск"""""";2017",
101;Майнинг иерархической модели процесса по журналу событий;2017,
102;Извлечение социальных сетей из художественной литературы;2017,
103;Индексы разделения систем корней малых рангов;2017,
104;Программное средство для межпроцессного взаимодействия на основе предметно-ориентированного языка;2017,
105;Гладкие невыпуклые релаксации некоторых задач квадратичной комбинаторной оптимизации;2017,
106;Нахождение разреженных главных компонент с помощью методов кластеризации графов;2017,
107;Методики анализа вызванных потенциалов мозга при помощи адаптивной пространственной фильтрации;2017,
108;Классификация нормы и патологии развития на основе сходств в разбиениях сетевых структур головного мозга;2017,
109;Индексы центральности PageRank и LRIC и их различия;2017,
110;Экспериментальное исследование методов прогнозирования популярности новостных сообщений;2017,
111;Веб-приложение для организации процесса разработки программного обеспечения;2017,
112;Библиотека Complex Layout Manager для Android приложений;2017,
113;Повышение разрешения изображений с использованием конкурирующих нейронных сетей;2017,
114;Прототип генератора предметно-ориентиованных интерфейсов пользователя для встроенных систем;2017,
115;Приложение для построения рациональных маршрутов между городами;2017,
116;Приложение транспортной метрики Монжа-Канторовича в анализе видеозаписей;2017,
117;IntelliJ IDEA плагин для редактирования Javadoc комментариев;2017,
118;Клиент-серверное приложение для игры в модификации Го;2017,
"119;""Мобильное приложение """"Одежда и уход за ней"""""";2017",
120;Построение математической модели оценки платежеспособности заемщика c помощью методов машинного обучения;2017,
121;Сравнительный анализ методов выбора стратегии лечения при количественном исходе;2017,
122;Android приложение для изучения открытых курсов на платформе Stepik.org;2017,
123;Программа для совершенствования навыков английского языка с использованием видеоклипов;2017,
124;Поиск нечётких дубликатов в массиве библиографических данных;2017,
125;Нейросетевые модели мультисенсорного детектора присутствия транспортного средства в зоне классификации пункта взимания платы;2017,
126;Исследование влияния среднеквадратического отклонения объёмов грузов на трудоёмкость рекурсивного алгоритма решения задачи оптимальной упаковки;2017,
127;Система обработки трассировочных данных жизненного цикла разработки программного обеспечения на основе графовой базы данных Neo4j;2017,
128;Построение локальных аппроксиматоров и оценка точности прогноза в задаче предсказания физико-химических свойств молекул;2017,
129;Библиотeка модулей для создания мобильных приложений для интернет-магазинов;2017,
130;Разработка библиотеки учебных визуализаций для проекта дистанционного образования;2017,
"131;""Задачи оптимального управления в системе """"Власть-Общество-Экономика"""" для коррумпированной иерархии"";2017",
132;Мобильное приложение для проведения многопользовательских видеоконференций с поддержкой текстовых сообщений;2017,
133;Программа классификации типов компьютерных атак на локальную вычислительную машину;2017,
134;Использование метода многоруких бандитов для персонализированных рекомендаций;2017,
135;Адаптация музыкального произведения под определённый музыкальный стиль на основе алгоритмов машинного обучения;2017,
136;Бинарная классификация как вспомогательный инструмент для решения SAT задач;2017,
137;Методы классификации для поиска закономерностей в демографических последовательностях;2017,
138;Программа поведенческого анализа вполне структурированных систем переходов;2017,
139;Анализ методов обработки естественного языка для определения полезности отзывов;2017,
140;Кластеры в графах цитирования по материалам баз научных публикаций;2017,
141;Статистика движения импульсов на метрическом графе для случая рационально зависимых времен прохождения ребер;2017,
142;Программа публикации контента на основе использования технологий iBeacon и NFC;2017,
143;Композициональный синтез моделей процессов на основе паттернов интерфейсов;2017,
144;Программа интерактивного представления результатов анализа сетевого трафика;2017,
145;Гибридный метод повышения качества обслуживания на основе ограничений доступности в облаке для малых и средних предприятий;2017,
"146;""Клиент-серверное iOS приложение """"Карта путешествий"""""";2017",
147;Активное глубокое обучение;2017,
148;Обработка и анализ данных в режиме реального времени с учетом требований безопасности системы;2017,
149;Методы глубокого обучения в задаче детектирования перефразирований;2017,
150;Визуализатор несжимаемого потока Шредингера;2017,
151;Исследование методов вычисления функции энтропии слов в целях кластеризации семейств растений по их геномам;2017,
152;Разработка аналитического онлайн-сервиса с возможностями модульного расширения;2017,
153;Клиент-серверное iOS приложение для организации конференции;2017,
154;Мобильное приложение для платформы по смешанному образованию;2017,
155;Программа управления приложением с помощью нейрокомпьютерного интерфейса;2017,
156;Контекстно-зависимая рекомендательная система на основе алгоритма тензорных разложений;2017,
157;Выборочное оценивание матрицы Якоби функции на многообразии;2017,
158;Распознавание мимики человека с помощью методов машинного обучения;2017,
"159;""Программа """"Система лояльности на основе чеков"""""";2017",
160;Метод обнаружения момента разладки на основе оптимального транспорта и геометрической меры неравномерности;2017,
161;Визуальный анализатор полетных данных реального времени;2017,
162;Байесовский выбор модели для частично наблюдаемого марковского процесса с двумя состояниями;2017,
163;Плагин для IDE Android Studio для разработки пользовательского интерфейса кроссплатформенных мобильных приложений;2017,
164;Сверхлинейно-сходящийся проксимальный метод типа Ньютона для оптимизации конечных сумм;2017,
165;Матричная факторизация на основе глубокого обучения для коллаборативной фильтрации;2017,
166;Восстановление матрицы малого ранга при наличии дополнительной информации;2017,
167;Мобильное приложение для построения американских горок и симуляции поездки в виртуальной реальности;2017,
168;Исследование корреляций функций от собственных значений и TSP-сложностей матриц индивидуальных задач коммивояжера;2017,
169;Виртуальная комната смеха;2017,
170;Ранговые оценки с высокой пороговой точкой в регрессионной модели;2017,
171;Применение методов машинного обучения для анализа кибер-спортивных событий;2017,
172;Механизмы сосуществования стационарных биологических сообществ в пространствах разных размерностей;2017,
173;Методы обнаружения аномалий на основе ядерного вложения распределений;2017,
174;Система создания и редактирования программ выступлений по художественной гимнастике с модулем судейской оценки;2017,
175;Программа распознавания лица для идентификации личности;2017,
176;Прогнозирование оттока клиентов для управления взаимоотношениями с клиентами в банковской сфере;2017,
177;Мобильное приложение для аренды вещей;2017,
178;Android приложение для удаленных заказов в сети кофеен;2017,
179;Программа для обнаружения помех и потерь связи в моделях беспроводных сетей на основе нечеткой логики;2017,
"180;""Интернет-сервис """"Агрегатор мёда”"";2017",
181;Анализ временных рядов геопространственных данных;2017,
182;Расширяемая система учета и анализа рабочего времени;2017,
183;Байесовская идентификация параметров на основе численных алгоритмов Монте-Карло (Monte Carlo Algorithms) в задачах построения многомерных регрессионных моделей со стохастическими ошибками, представленными в семипараметрическом виде;2017
184;Поиск векторных представлений вершин в задачах машинного обучения на графах;2017,
"185;""Сервис определения эффективности рекламной компании в социальной сети """"Вконтакте"""""";2017",
186;Применение глубокого обучения в задаче классификации нормы и патологии по снимкам МРТ головного мозга;2017,
187;Программа имитации рукописного текста;2017,
188;Анализ интенсивности взаимодействий между узлами компьютерной сети на основе журналов событий;2017,
189;Контент менеджер загрузок Android приложений в Google Play Store;2017,
190;Визуальный редактор для процедурного моделирования архитектурных сооружений;2017,
191;Разработка системы для выполнения citizen science исследований с использованием подходов машинного обучения;2017,
192;Классификация демографических последовательностей на основе скрытых марковских моделей;2017,
193;Оценка параметров статистической модели случайных графов;2017,
194;Глубокое обучение в аспектом анализе тональности текстов;2017,
195;Построение модели прогноза LTV для условно-бесплатного игрового проекта;2017,
196;Исследование методов мягкого декодирования недвоичных блоковых кодов в системах связи с непраметрическим приемом;2017,
197;Методы оценки качества алгоритмов коллаборативной фильтрации;2017,
198;Создание изображений с помощью вариационных автокодировщиков;2017,
199;iOS приложение для ведения персональной бухгалтерии;2017,
200;Агентное моделирование рынка трудовых ресурсов;2017,
201;Прозрачная платформа для голосования, реализованная на технологии блок-чейн;2017
202;Построение архитектуры глубокой нейронной сети с помощью решётки формальных понятий;2017,
203;Приложение для мобильных опросов на основе коллаборативного взвешенного голосования;2017,
204;Библиотека с открытым исходным кодом для оптимизации и регуляризации линейных предсказательных моделей по большим выборкам данных;2017,
205;Система защиты продукции от контрафакта на основе технологий NFC и штрих-кода;2017,
206;Человеко-ориентированный Android планировщик задач;2017,
207;Математические методы и программные средства предсказания развития опухолевого процесса при раке молочной железы;2017,
208;Зеркальный вариант метода подобных треугольников для задач условной оптимизации;2017,
209;Фотореалистичная постобработка визуализированных трехмерных сцен;2017,
210;Прогнозирование отклика клиента с помощью методов машинного обучения;2017,
211;Расчет ограничений производительности кластера веб-серверов;2017,
212;Улучшение пользовательской персонализации для платформы Everware-воспроизводимой научной платформы;2017,
213;Обучение cтроковых ядер с использованием адаптивного сжатия переменной длины;2017,
"214;""Клиент-серверное Android-приложение """"Навигация в метро"""""";2017",
215;Фреймворк для создания бессерверных событийно-ориентированных приложений;2017,
216;Методы моделирования диалога при помощи рекуррентных нейронных сетей;2017,
217;Оценивание и прогнозирование в модели бинарной логистической регрессии с зависимыми ковариатами;2017,
218;Разработка подсистемы визуализации и подключения решателей программного комплекса анализа данных в медицине;2017,
219;Использование нейросетевой архитектуры с пространственно-временными связями для построения пути в лабиринте;2017,
220;Многоуровневая система сервисов для интеграции банковских приложений;2017,
221;Граничные условия, имитирующие задачу Коши (прозрачные граничные условия) для разностных аппроксимаций основных уравнений математической физики;2017
222;Программа для оценки успеваемости студентов на основе аппарата нечеткой логики;2017,
223;Метод предсказания будущего значения онлайн метрик в А/В тестировании и его расширения;2017,
224;Оценка оптимального индивидуального режима непрерывного воздействия;2017,
225;Децентрализованное приложение для осуществления безопасных платежей, не требующее установления какого либо доверия между отправляющей и принимающей сторонами;2017
226;3D визуализация кристаллических решеток разных кристаллографических групп;2017,
227;Байесовский подход к выбору модели в скрытых марковских моделях;2017,
228;Мобильный аудиоплеер для речевых записей;2017,
229;Глубокое обучение для измерения фотометрического красного смещения;2017,
230;Позиционирование обладателя смартфона для конструирования дополненной реальности;2017,
231;Извлечение RDF-триплетов из текстов;2017,
232;Методы и алгоритмы картирования и локализации по видеопотоку;2017,
233;Исследование корреляций энтропии слов отношений сравнения и TSP-сложностей индивидуальных задач коммивояжера;2017,
234;Анализ экспертных отзывов о винах;2017,
235;Мобильное приложение для покупки в вендинговых автоматах;2017,
236;Синхронизированная визуализация UML моделей и программного кода;2017,
237;Инструментальное средство анализа состояния организации на основе набора диагностических методов;2017,
238;Система управления базой данных на основе очередей изменения объектов;2017,
239;Методы анализ траекторий;2017,
"240;""Поиск закономерностей на основе меры """"полезности"""" в маркетинговых данных"";2017",
241;Вероятностное обучение приближенным базисам импликативных зависимостей при помощи запросов;2017,
